Sample,Payload [Bytes],Latency [us]
366,16,8.72753
367,16,8.73903
368,16,8.71403
369,16,8.69153
370,16,8.74153
371,16,8.68453
372,16,8.76003
373,16,8.75253
374,16,8.69903
375,16,8.69503
376,16,8.75953
377,16,8.65703
378,16,8.71453
379,16,8.73503
380,16,8.68703
381,16,13.8945
382,16,14.216
383,16,14.2925
384,16,14.318
385,16,14.217
386,16,14.3075
387,16,14.2545
388,16,14.2755
389,16,14.2235
390,16,14.297
391,16,14.2105
392,16,14.318
393,16,14.301
394,16,14.228
395,16,14.236
396,16,14.275
397,16,14.2335
398,16,14.26
399,16,14.168
400,16,14.217
401,16,14.1785
402,16,14.1875
403,16,15.031
404,16,14.308
405,16,15.0095
406,16,14.125
407,16,14.1525
408,16,14.1255
409,16,13.787
410,16,14.0505
411,16,14.969
412,16,14.1905
413,16,14.201
414,16,13.6715
415,16,14.0795
416,16,14.1925
417,16,14.103
418,16,14.1485
419,16,14.251
420,16,14.2565
421,16,14.32
422,16,14.2355
423,16,14.491
424,16,14.3275
425,16,15.1115
426,16,14.2025
427,16,14.1325
428,16,14.213
429,16,14.98
430,16,14.2535
431,16,14.3005
432,16,14.148
433,16,14.176
434,16,15.09
435,16,13.6635
436,16,9.22653
437,16,8.74103
438,16,8.71603
439,16,8.66853
440,16,8.66903
441,16,8.70553
442,16,8.63203
443,16,8.63203
444,16,8.60253
445,16,8.64203
446,16,8.61453
447,16,8.66853
448,16,8.59453
449,16,8.64303
450,16,8.62753
451,16,8.62803
452,16,8.67753
453,16,8.63653
454,16,8.60303
455,16,8.56153
456,16,8.65103
457,16,8.67503
458,16,8.60653
459,16,8.63003
460,16,8.58253
461,16,8.67503
462,16,8.64853
463,16,8.58053
464,16,8.60303
465,16,8.64153
466,16,8.61153
467,16,8.86053
468,16,8.64203
469,16,8.58903
470,16,8.57253
471,16,8.64703
472,16,8.64953
473,16,8.60903
474,16,8.65403
475,16,8.60003
476,16,8.61403
477,16,9.50453
478,16,9.10203
479,16,8.89153
480,16,8.85853
481,16,8.83553
482,16,8.86403
483,16,8.79603
484,16,16.728
485,16,14.3285
486,16,14.124
487,16,13.73
488,16,14.1345
489,16,14.2595
490,16,13.8265
491,16,13.703
492,16,13.7755
493,16,14.123
494,16,13.7555
495,16,14.1625
496,16,14.3165
497,16,13.6755
498,16,13.703
499,16,14.631
500,16,14.187
501,16,13.6665
502,16,13.7565
503,16,13.669
504,16,14.4715
505,16,13.3645
506,16,9.18703
507,16,8.81903
508,16,8.82953
509,16,8.77453
510,16,8.82153
511,16,8.77853
512,16,8.67153
513,16,9.20803
514,16,8.80653
515,16,8.71853
516,16,8.72253
517,16,8.71253
518,16,8.74803
519,16,8.75153
520,16,8.68903
521,16,8.73503
522,16,8.78903
523,16,15.303
524,16,8.89103
525,16,8.70703
526,16,8.79603
527,16,8.77353
528,16,8.72103
529,16,8.78703
530,16,8.71353
531,16,8.75053
532,16,8.71253
533,16,8.69903
534,16,8.71703
535,16,8.69553
536,16,8.77953
537,16,8.78903
538,16,8.71403
539,16,8.76203
540,16,8.78453
541,16,8.82103
542,16,8.79853
543,16,8.68953
544,16,8.77653
545,16,8.75553
546,16,8.78253
547,16,8.80053
548,16,8.81553
549,16,8.73003
550,16,8.72853
551,16,8.72253
552,16,8.72603
553,16,18.621
554,16,13.8865
555,16,13.649
556,16,14.0915
557,16,13.673
558,16,13.623
559,16,14.098
560,16,13.684
561,16,13.641
562,16,13.569
563,16,13.595
564,16,14.1495
565,16,13.671
566,16,13.587
567,16,14.1115
568,16,14.229
569,16,13.723
570,16,14.0395
571,16,13.64
572,16,13.566
573,16,13.6065
574,16,14.0855
575,16,13.7065
576,16,13.574
577,16,13.5365
578,16,13.568
579,16,13.627
580,16,13.594
581,16,13.657
582,16,14.1035
583,16,14.1125
584,16,14.242
585,16,13.799
586,16,14.1375
587,16,13.5305
588,16,13.484
589,16,13.453
590,16,13.9975
591,16,13.7115
592,16,13.486
593,16,13.471
594,16,13.5495
595,16,14.0215
596,16,14.11
597,16,13.593
598,16,14.06
599,16,14.0615
600,16,14.208
601,16,13.634
602,16,14.11
603,16,13.63
604,16,14.143
605,16,14.062
606,16,13.669
607,16,13.983
608,16,13.6185
609,16,13.9225
610,16,14.2055
611,16,13.684
612,16,14.07
613,16,14.101
614,16,14.1715
615,16,14.1585
616,16,13.6615
617,16,13.971
618,16,14.3455
619,16,22.593
620,16,15.1115
621,16,14.401
622,16,14.3465
623,16,14.2585
624,16,14.307
625,16,14.212
626,16,14.25
627,16,14.2325
628,16,14.265
629,16,14.1845
630,16,14.2835
631,16,14.2595
632,16,14.326
633,16,14.3985
634,16,14.271
635,16,14.324
636,16,14.261
637,16,14.285
638,16,14.244
639,16,14.339
640,16,14.2615
641,16,14.227
642,16,14.2865
643,16,15.1195
644,16,13.7605
645,16,9.31053
646,16,8.78903
647,16,8.81203
648,16,8.82203
649,16,8.79103
650,16,8.81653
651,16,8.73703
652,16,8.94353
653,16,8.88253
654,16,8.86003
655,16,8.74753
656,16,8.85153
657,16,8.81003
658,16,8.81503
659,16,8.84603
660,16,8.75453
661,16,8.64953
662,16,8.76253
663,16,8.72453
664,16,8.72803
665,16,8.68603
666,16,8.66453
667,16,8.63903
668,16,8.65303
669,16,8.65053
670,16,8.71203
671,16,8.68003
672,16,8.67903
673,16,8.69303
674,16,8.63853
675,16,8.68103
676,16,8.67903
677,16,8.67553
678,16,8.72953
679,16,8.64903
680,16,8.76853
681,16,8.70453
682,16,8.61353
683,16,8.73453
684,16,8.68903
685,16,8.69903
686,16,8.76053
687,16,8.68403
688,16,8.67603
689,16,8.66153
690,16,8.73303
691,16,8.67803
692,16,8.69753
693,16,14.3545
694,16,14.116
695,16,14.28
696,16,14.261
697,16,14.2395
698,16,14.382
699,16,13.7775
700,16,14.164
701,16,14.2215
702,16,14.2285
703,16,14.25
704,16,15.0045
705,16,14.1405
706,16,13.7055
707,16,9.33253
708,16,8.84153
709,16,8.69203
710,16,8.73603
711,16,8.75403
712,16,8.70403
713,16,8.69503
714,16,8.70203
715,16,8.69653
716,16,8.75253
717,16,8.76053
718,16,8.79753
719,16,8.67103
720,16,8.75703
721,16,8.68203
722,16,8.71853
723,16,8.69953
724,16,8.75303
725,16,8.69253
726,16,8.78803
727,16,8.71903
728,16,8.73003
729,16,8.80503
730,16,8.73453
731,16,8.74953
732,16,8.70553
733,16,8.73903
734,16,8.74403
735,16,8.59603
736,16,8.57903
737,16,8.63253
738,16,8.61703
739,16,8.57903
740,16,8.60753
741,16,8.60653
742,16,8.58503
743,16,8.70103
744,16,8.60953
745,16,8.59253
746,16,8.62003
747,16,8.62403
748,16,8.69953
749,16,8.58753
750,16,8.58003
751,16,8.59303
752,16,8.58703
753,16,8.67803
754,16,8.68003
755,16,19.3005
756,16,14.0275
757,16,14.14
758,16,14.2185
759,16,13.7025
760,16,14.1375
761,16,14.205
762,16,14.1275
763,16,14.1445
764,16,14.107
765,16,14.1375
766,16,14.1005
767,16,14.12
768,16,14.147
769,16,14.1445
770,16,14.161
771,16,14.1205
772,16,14.1785
773,16,15.4305
774,16,14.5505
775,16,14.246
776,16,14.1775
777,16,14.252
778,16,14.198
779,16,14.305
780,16,14.922
781,16,14.2275
782,16,14.2515
783,16,14.1605
784,16,14.262
785,16,14.974
786,16,14.275
787,16,14.1855
788,16,14.2245
789,16,14.113
790,16,14.139
791,16,14.2545
792,16,14.179
793,16,13.6745
794,16,14.046
795,16,14.93
796,16,13.746
797,16,9.16903
798,16,8.82903
799,16,8.77853
800,16,8.73103
801,16,8.78903
802,16,8.80103
803,16,8.78253
804,16,8.79203
805,16,8.78803
806,16,8.81053
807,16,8.79553
808,16,8.75403
809,16,8.73703
810,16,8.77653
811,16,8.75853
812,16,8.73403
813,16,8.77353
814,16,8.72503
815,16,8.71103
816,16,8.70503
817,16,8.73203
818,16,8.91803
819,16,8.71453
820,16,8.73653
821,16,8.70303
822,16,8.76753
823,16,8.79653
824,16,8.75953
825,16,8.78653
826,16,8.77803
827,16,8.80453
828,16,8.70703
829,16,8.77203
830,16,8.70353
831,16,8.68753
832,16,8.69403
833,16,8.68253
834,16,8.70403
835,16,8.73403
836,16,8.68603
837,16,8.74303
838,16,8.68453
839,16,8.72253
840,16,8.71403
841,16,8.74453
