Sample,Payload [Bytes],Latency [us]
354,16,0.479868
355,16,0.487368
356,16,0.483368
357,16,0.481868
358,16,0.481368
359,16,0.479868
360,16,0.481368
361,16,0.490868
362,16,0.480868
363,16,0.478868
364,16,0.480368
365,16,0.485368
366,16,0.496868
367,16,0.481868
368,16,0.480368
369,16,0.485368
370,16,0.480368
371,16,0.481368
372,16,0.481368
373,16,0.482368
374,16,0.479868
375,16,0.486868
376,16,0.478868
377,16,0.485368
378,16,0.477868
379,16,0.481368
380,16,0.479368
381,16,0.476868
382,16,0.478868
383,16,0.482368
384,16,0.484368
385,16,0.482368
386,16,0.482368
387,16,0.480368
388,16,0.481368
389,16,0.482868
390,16,0.490868
391,16,0.484368
392,16,0.480868
393,16,0.483868
394,16,0.484368
395,16,0.480368
396,16,0.492368
397,16,0.484368
398,16,0.479368
399,16,0.480368
400,16,0.480368
401,16,0.492868
402,16,0.481368
403,16,0.478368
404,16,0.482868
405,16,0.480868
406,16,0.479868
407,16,0.482868
408,16,0.483368
409,16,0.481868
410,16,0.490868
411,16,0.477368
412,16,0.479868
413,16,0.489368
414,16,0.482868
415,16,0.484368
416,16,0.483868
417,16,0.484868
418,16,0.482868
419,16,0.482368
420,16,0.484368
421,16,0.490868
422,16,0.480868
423,16,0.479868
424,16,0.480868
425,16,0.482368
426,16,0.480368
427,16,0.478868
428,16,0.478868
429,16,0.482368
430,16,0.476868
431,16,0.479868
432,16,0.481368
433,16,0.482368
434,16,0.486368
435,16,0.479868
436,16,0.483368
437,16,0.491368
438,16,0.481868
439,16,0.484868
440,16,0.480868
441,16,0.483368
442,16,0.476868
443,16,0.478868
444,16,0.478368
445,16,0.484368
446,16,0.480368
447,16,0.484368
448,16,0.477368
449,16,0.482868
450,16,0.479868
451,16,0.480868
452,16,0.479368
453,16,0.477368
454,16,0.489868
455,16,0.481868
456,16,0.480868
457,16,0.477368
458,16,0.482868
459,16,0.477868
460,16,0.483368
461,16,0.483368
462,16,0.484868
463,16,0.490368
464,16,0.480368
465,16,0.482368
466,16,0.481368
467,16,0.485868
468,16,0.483868
469,16,0.477868
470,16,0.491868
471,16,0.491868
472,16,0.480868
473,16,0.481368
474,16,0.482368
475,16,0.474868
476,16,0.478868
477,16,2.21437
478,16,0.930868
479,16,0.860868
480,16,0.759368
481,16,0.493868
482,16,0.479868
483,16,0.485868
484,16,0.477368
485,16,0.473368
486,16,0.474368
487,16,0.480868
488,16,0.485868
489,16,0.476368
490,16,0.473868
491,16,0.475868
492,16,0.471368
493,16,0.480368
494,16,0.472868
495,16,0.472868
496,16,0.469868
497,16,0.469368
498,16,0.473368
499,16,0.485368
500,16,0.473868
501,16,0.473868
502,16,0.483368
503,16,0.485368
504,16,0.474868
505,16,0.477868
506,16,0.478368
507,16,0.473868
508,16,0.483868
509,16,0.479868
510,16,0.475368
511,16,0.484868
512,16,0.475368
513,16,0.532868
514,16,0.479868
515,16,0.479868
516,16,0.480868
517,16,0.477368
518,16,0.479368
519,16,0.479368
520,16,0.476368
521,16,0.483368
522,16,0.482368
523,16,0.484868
524,16,0.476868
525,16,0.483368
526,16,0.478368
527,16,0.474868
528,16,0.481368
529,16,0.485368
530,16,0.476368
531,16,0.472368
532,16,0.482368
533,16,0.476368
534,16,0.483368
535,16,0.474868
536,16,0.478368
537,16,0.475868
538,16,0.475368
539,16,0.494868
540,16,0.471368
541,16,0.476368
542,16,0.475868
543,16,0.476868
544,16,0.482868
545,16,0.475868
546,16,0.479368
547,16,0.476868
548,16,0.476868
549,16,0.473868
550,16,0.477368
551,16,0.481368
552,16,0.483368
553,16,0.475368
554,16,0.481868
555,16,0.479368
556,16,0.477868
557,16,0.480368
558,16,0.483868
559,16,0.482368
560,16,0.475868
561,16,0.486868
562,16,0.474368
563,16,0.475868
564,16,0.484368
565,16,0.475868
566,16,0.479368
567,16,0.482368
568,16,0.479868
569,16,0.484368
570,16,0.483868
571,16,0.477368
572,16,0.477868
573,16,0.477868
574,16,0.481368
575,16,0.488868
576,16,0.478868
577,16,0.476368
578,16,0.479868
579,16,0.479368
580,16,0.488868
581,16,0.481368
582,16,0.477368
583,16,0.481868
584,16,0.487868
585,16,0.474868
586,16,0.479868
587,16,0.476868
588,16,0.478368
589,16,0.480368
590,16,0.478368
591,16,0.487868
592,16,0.476368
593,16,0.478368
594,16,0.477368
595,16,0.477868
596,16,0.473368
597,16,0.477368
598,16,0.474868
599,16,0.483368
600,16,0.476868
