Sample,Payload [Bytes],Latency [us]
1,16,34.835500
2,16,17.012500
3,16,15.388500
4,16,15.137000
5,16,23.052500
6,16,20.797000
7,16,15.737000
8,16,14.317000
9,16,12.603000
10,16,12.871000
11,16,12.703000
12,16,12.515500
13,16,12.532500
14,16,12.535000
15,16,12.639000
16,16,12.607000
17,16,12.500000
18,16,12.473500
19,16,12.559000
20,16,12.637500
21,16,12.571000
22,16,12.456000
23,16,12.474500
24,16,12.442500
25,16,12.396000
26,16,12.475500
27,16,12.529000
28,16,12.614500
29,16,12.515500
30,16,12.547000
31,16,13.040000
32,16,12.545500
33,16,12.407000
34,16,12.520500
35,16,12.528500
36,16,12.496500
37,16,12.576500
38,16,12.489000
39,16,12.586000
40,16,12.581500
41,16,12.415000
42,16,12.556000
43,16,12.596500
44,16,12.529500
45,16,26.951000
46,16,13.854000
47,16,12.491500
48,16,12.542500
49,16,12.450500
50,16,12.481000
51,16,12.506000
52,16,12.452000
53,16,12.508000
54,16,12.550500
55,16,12.520000
56,16,12.775500
57,16,12.588500
58,16,12.575500
59,16,12.620500
60,16,12.532500
61,16,12.655000
62,16,12.610500
63,16,12.624500
64,16,12.515500
65,16,12.431000
66,16,12.513000
67,16,12.505500
68,16,12.491000
69,16,12.595000
70,16,12.620500
71,16,12.960000
72,16,12.544500
73,16,12.569000
74,16,12.439000
75,16,12.528500
76,16,12.637500
77,16,12.561000
78,16,12.675500
79,16,12.538500
80,16,12.538500
81,16,12.535000
82,16,12.476500
83,16,12.541000
84,16,12.530500
85,16,12.483000
86,16,12.545500
87,16,12.489000
88,16,12.490000
89,16,12.476500
90,16,12.530500
91,16,12.619500
92,16,12.488000
93,16,12.501000
94,16,12.508000
95,16,12.606500
96,16,12.620500
97,16,12.523000
98,16,12.543500
99,16,12.555000
100,16,12.617000
101,16,12.414500
102,16,12.566500
103,16,12.478000
104,16,12.627500
105,16,12.789500
106,16,12.457000
107,16,12.647500
108,16,12.590500
109,16,12.586000
110,16,12.734000
111,16,12.582000
112,16,12.506500
113,16,12.554500
114,16,12.459500
115,16,12.351500
116,16,12.517500
117,16,12.505000
118,16,12.550000
119,16,12.407500
120,16,12.448500
121,16,12.640500
122,16,12.514500
123,16,12.433500
124,16,12.411000
125,16,12.513000
126,16,12.561500
127,16,12.528000
128,16,12.485000
129,16,12.539000
130,16,12.541500
131,16,12.591500
132,16,12.711500
133,16,12.501000
134,16,12.448000
135,16,12.528000
136,16,12.507000
137,16,12.407000
138,16,12.558500
139,16,12.576000
140,16,12.359500
141,16,12.437500
142,16,12.490500
143,16,12.535000
144,16,12.569500
145,16,12.563500
146,16,12.573000
147,16,12.696500
148,16,12.625500
149,16,12.551000
150,16,12.391500
151,16,12.575500
152,16,12.541000
153,16,12.632000
154,16,12.766500
155,16,12.604500
156,16,12.522000
157,16,12.536500
158,16,12.428500
159,16,12.428000
160,16,12.576500
161,16,12.622500
162,16,12.638500
163,16,12.508500
164,16,12.559000
165,16,12.569500
166,16,12.564000
167,16,12.590500
168,16,12.513000
169,16,12.476000
170,16,12.554500
171,16,12.575500
172,16,12.600500
173,16,12.661500
174,16,12.706500
175,16,12.494000
176,16,12.418000
177,16,12.486500
178,16,12.518000
179,16,12.542500
180,16,12.553500
181,16,12.589000
182,16,12.490000
183,16,12.392500
184,16,12.625500
185,16,12.422500
186,16,12.415500
187,16,12.421000
188,16,12.638000
189,16,12.604000
190,16,12.630500
191,16,12.557500
192,16,12.626000
193,16,12.721000
194,16,12.552000
195,16,12.540000
196,16,12.684500
197,16,12.485500
198,16,3.845000
199,16,3.763000
200,16,3.789000
201,16,3.800000
202,16,3.796500
203,16,3.771000
204,16,3.779500
205,16,3.744000
206,16,3.860000
207,16,3.767000
208,16,3.808000
209,16,3.760000
210,16,3.773500
211,16,3.800500
212,16,3.743500
213,16,3.759500
214,16,3.842500
215,16,7.623500
216,16,3.799000
217,16,3.691000
218,16,3.708500
219,16,3.729000
220,16,3.719500
221,16,3.709000
222,16,3.742000
223,16,3.720000
224,16,3.699000
225,16,3.741500
226,16,3.795500
227,16,3.801500
