Sample,Payload [Bytes],Latency [us]
1,512,40.409500
2,512,29.748500
3,512,16.608500
4,512,15.924500
5,512,15.830000
6,512,14.848000
7,512,13.480500
8,512,13.122000
9,512,13.215500
10,512,13.056000
11,512,12.949500
12,512,13.261000
13,512,13.132000
14,512,13.052500
15,512,13.202500
16,512,13.150000
17,512,13.237500
18,512,13.075000
19,512,13.520500
20,512,13.394000
21,512,12.990500
22,512,13.011500
23,512,13.060000
24,512,12.971500
25,512,13.082000
26,512,12.980500
27,512,13.031500
28,512,13.026500
29,512,13.073500
30,512,13.054500
31,512,13.106000
32,512,12.990500
33,512,13.033500
34,512,12.971000
35,512,13.048000
36,512,13.038000
37,512,13.071000
38,512,13.097500
39,512,12.940500
40,512,13.066500
41,512,13.029500
42,512,13.084500
43,512,12.884500
44,512,13.022000
45,512,13.052500
46,512,13.039500
47,512,12.992000
48,512,13.013500
49,512,12.942000
50,512,13.034000
51,512,13.074000
52,512,13.099500
53,512,13.078000
54,512,13.081500
55,512,13.065000
56,512,12.986500
57,512,13.030500
58,512,13.058500
59,512,13.472500
60,512,13.129000
61,512,13.028000
62,512,12.984500
63,512,13.084500
64,512,13.038000
65,512,12.983500
66,512,13.095500
67,512,13.012000
68,512,13.054000
69,512,12.981500
70,512,12.943000
71,512,13.018000
72,512,12.951000
73,512,12.961000
74,512,13.027500
75,512,13.003500
76,512,18.316500
77,512,17.237000
78,512,13.787500
79,512,13.377500
80,512,13.393000
81,512,13.376500
82,512,13.388500
83,512,25.821500
84,512,13.955000
85,512,13.381000
86,512,13.376500
87,512,13.444500
88,512,13.380000
89,512,13.397500
90,512,13.569000
91,512,13.439000
92,512,13.453500
93,512,13.424000
94,512,13.428500
95,512,13.328500
96,512,13.331000
97,512,13.356500
98,512,13.461000
99,512,13.365500
100,512,13.383000
101,512,13.434500
102,512,13.308500
103,512,13.419500
104,512,13.372000
105,512,13.327500
106,512,13.470000
107,512,13.388000
108,512,13.453000
109,512,13.445500
110,512,13.355000
111,512,13.329500
112,512,13.514500
113,512,13.289000
114,512,13.448500
115,512,13.356500
116,512,13.410000
117,512,13.330500
118,512,13.431000
119,512,13.299500
120,512,13.464500
121,512,13.397000
122,512,13.443500
123,512,13.430500
124,512,13.378500
125,512,13.306500
126,512,13.342000
127,512,13.335000
128,512,13.415000
129,512,13.342000
130,512,13.350000
131,512,13.393000
132,512,13.406500
133,512,13.445000
134,512,13.368500
135,512,13.319000
136,512,13.407000
137,512,13.463500
138,512,13.390000
139,512,13.422000
140,512,13.345000
141,512,13.408500
142,512,13.348500
143,512,13.335500
144,512,13.422500
145,512,13.289500
146,512,13.309000
147,512,13.326000
148,512,13.374000
149,512,13.370000
150,512,13.457000
151,512,13.349500
152,512,13.379000
153,512,13.448500
154,512,13.337500
155,512,13.401500
156,512,13.407000
157,512,13.342000
158,512,13.379500
159,512,13.415500
160,512,13.499000
161,512,13.334500
162,512,13.404000
163,512,13.343000
164,512,13.311500
165,512,13.344500
166,512,13.411500
167,512,13.331500
168,512,13.291000
169,512,13.448500
170,512,13.417500
171,512,13.331000
172,512,13.501000
173,512,13.317000
174,512,13.280500
175,512,13.344000
176,512,13.446000
177,512,13.401000
178,512,13.405000
179,512,13.388500
180,512,13.433000
181,512,13.480000
182,512,13.504000
183,512,13.345500
184,512,13.349500
185,512,12.063000
186,512,3.993500
187,512,4.012000
188,512,3.997000
189,512,3.967500
190,512,3.984500
191,512,4.018500
192,512,4.021000
193,512,3.989500
194,512,3.980500
195,512,3.996000
196,512,4.009000
197,512,4.007000
198,512,3.978000
199,512,4.004000
200,512,3.996500
201,512,3.971500
202,512,4.009000
203,512,3.986500
204,512,3.991000
205,512,3.970500
206,512,3.975500
207,512,3.979500
208,512,3.992500
209,512,3.966000
210,512,3.979000
211,512,3.995000
212,512,3.969000
213,512,4.026000
214,512,3.982500
215,512,3.986500
216,512,4.002000
217,512,3.959000
218,512,3.962500
219,512,3.990500
220,512,3.981000
221,512,4.010500
222,512,3.971500
223,512,4.010000
224,512,3.992000
225,512,3.993500
226,512,3.994000
227,512,4.004000
228,512,3.996000
229,512,3.983000
230,512,3.963000
231,512,3.970500
232,512,3.983500
233,512,3.956500
234,512,3.984500
235,512,3.999500
236,512,3.985500
237,512,3.966000
238,512,3.995500
239,512,3.964000
240,512,4.021500
241,512,3.971500
