Sample,Payload [Bytes],Latency [us]
1,1024,42.382500
2,1024,21.538500
3,1024,17.251000
4,1024,25.827000
5,1024,18.153500
6,1024,16.543000
7,1024,14.410500
8,1024,14.701500
9,1024,14.010500
10,1024,13.984500
11,1024,13.887500
12,1024,13.830500
13,1024,14.036500
14,1024,13.995500
15,1024,13.832000
16,1024,13.863500
17,1024,13.807000
18,1024,13.747500
19,1024,13.754000
20,1024,13.822500
21,1024,13.789000
22,1024,13.812500
23,1024,13.778500
24,1024,13.784000
25,1024,13.766000
26,1024,13.806500
27,1024,13.825500
28,1024,13.772000
29,1024,13.794000
30,1024,13.713000
31,1024,13.739000
32,1024,13.793000
33,1024,16.597500
34,1024,13.816500
35,1024,26.905500
36,1024,15.488000
37,1024,13.019000
38,1024,12.990500
39,1024,13.032500
40,1024,13.000000
41,1024,13.023500
42,1024,12.990000
43,1024,12.902500
44,1024,12.998000
45,1024,13.379000
46,1024,12.905000
47,1024,13.012000
48,1024,12.907500
49,1024,12.961500
50,1024,12.936000
51,1024,12.902000
52,1024,12.856500
53,1024,12.879000
54,1024,12.949000
55,1024,12.884000
56,1024,12.998500
57,1024,12.881000
58,1024,12.925000
59,1024,12.987500
60,1024,12.958500
61,1024,12.918500
62,1024,12.926500
63,1024,12.913000
64,1024,12.900000
65,1024,12.928500
66,1024,12.816000
67,1024,12.934500
68,1024,12.945500
69,1024,13.007000
70,1024,12.983000
71,1024,13.016500
72,1024,12.958500
73,1024,12.908000
74,1024,12.908500
75,1024,12.949000
76,1024,12.914000
77,1024,13.007500
78,1024,12.934500
79,1024,12.798500
80,1024,12.920500
81,1024,12.893000
82,1024,12.949500
83,1024,12.849500
84,1024,12.885500
85,1024,13.231000
86,1024,13.047000
87,1024,13.085000
88,1024,12.864500
89,1024,12.915000
90,1024,12.896000
91,1024,12.947000
92,1024,12.890500
93,1024,12.875500
94,1024,12.815000
95,1024,12.824500
96,1024,12.916500
97,1024,12.963500
98,1024,12.870500
99,1024,12.941500
100,1024,12.907500
101,1024,12.943500
102,1024,12.975500
103,1024,12.967000
104,1024,12.936000
105,1024,12.994500
106,1024,12.914500
107,1024,12.876000
108,1024,12.957000
109,1024,12.930500
110,1024,12.911000
111,1024,12.987000
112,1024,12.917000
113,1024,12.939000
114,1024,12.865000
115,1024,12.891500
116,1024,12.881000
117,1024,12.881500
118,1024,12.895500
119,1024,12.907000
120,1024,12.857500
121,1024,12.974500
122,1024,12.854500
123,1024,12.901000
124,1024,12.899000
125,1024,12.884000
126,1024,13.049500
127,1024,12.936000
128,1024,12.858000
129,1024,12.838000
130,1024,12.920000
131,1024,12.921000
132,1024,12.995000
133,1024,12.807500
134,1024,12.899500
135,1024,12.891000
136,1024,12.802500
137,1024,12.873000
138,1024,12.906000
139,1024,12.861500
140,1024,12.897000
141,1024,12.924000
142,1024,12.828500
143,1024,12.956000
144,1024,12.911000
145,1024,12.909000
146,1024,12.887000
147,1024,12.914000
148,1024,12.842000
149,1024,12.904000
150,1024,12.913500
151,1024,12.957000
152,1024,12.933000
153,1024,12.906000
154,1024,12.919000
155,1024,12.930000
156,1024,12.910000
157,1024,12.932000
158,1024,12.959500
159,1024,12.883000
160,1024,12.796000
161,1024,12.949500
162,1024,12.869500
163,1024,12.873000
164,1024,12.946000
165,1024,12.926000
166,1024,13.029000
167,1024,12.982000
168,1024,12.927000
169,1024,12.776500
170,1024,12.830500
171,1024,12.867500
172,1024,12.868000
173,1024,12.905500
174,1024,12.844500
175,1024,12.887500
176,1024,12.894000
177,1024,12.971000
178,1024,12.917000
179,1024,12.768500
180,1024,16.916500
181,1024,3.966000
182,1024,3.861000
183,1024,3.857500
184,1024,3.856500
185,1024,3.854000
186,1024,3.878000
187,1024,3.879000
188,1024,3.841500
189,1024,3.870000
190,1024,3.840000
191,1024,3.832000
192,1024,3.852500
193,1024,3.909000
194,1024,3.867000
195,1024,3.821500
196,1024,3.871000
197,1024,3.818000
198,1024,3.834500
199,1024,3.803500
200,1024,3.824000
201,1024,3.823000
202,1024,3.823000
203,1024,3.846500
204,1024,3.775500
205,1024,7.014000
206,1024,24.405000
207,1024,4.192500
208,1024,4.042000
209,1024,4.021500
210,1024,3.990000
211,1024,4.007500
212,1024,4.088500
213,1024,3.998000
214,1024,3.997500
215,1024,4.096500
216,1024,4.021000
217,1024,4.078500
218,1024,4.031000
219,1024,4.009000
220,1024,4.034000
221,1024,4.107500
222,1024,4.017500
223,1024,4.026500
224,1024,4.065000
225,1024,4.019000
226,1024,3.982000
227,1024,3.993000
228,1024,4.031500
229,1024,4.023500
230,1024,4.025500
231,1024,4.025500
232,1024,4.035500
233,1024,3.988500
234,1024,4.013000
235,1024,4.011500
236,1024,4.063500
237,1024,3.992000
238,1024,4.020500
239,1024,4.018500
