Sample,Payload [Bytes],Latency [us]
354,16,13.6053
355,16,13.6363
356,16,13.6113
357,16,13.7958
358,16,13.5498
359,16,13.7533
360,16,13.6423
361,16,13.7448
362,16,13.6523
363,16,13.7518
364,16,13.6373
365,16,13.7408
366,16,13.5788
367,16,13.7863
368,16,13.7683
369,16,13.8518
370,16,13.5858
371,16,13.7088
372,16,13.6673
373,16,13.6938
374,16,13.5488
375,16,13.6523
376,16,13.6383
377,16,13.6953
378,16,13.6358
379,16,13.7813
380,16,13.6823
381,16,13.6893
382,16,13.6073
383,16,13.7008
384,16,13.6233
385,16,13.7183
386,16,13.6488
387,16,13.6688
388,16,13.6403
389,16,13.7578
390,16,13.6393
391,16,13.7218
392,16,13.5788
393,16,13.7973
394,16,13.5848
395,16,13.6488
396,16,13.5943
397,16,13.7288
398,16,124.435
399,16,16.3183
400,16,14.8223
401,16,13.7098
402,16,13.5498
403,16,13.6833
404,16,13.6433
405,16,13.6573
406,16,13.5238
407,16,13.7368
408,16,13.5793
409,16,13.6743
410,16,13.6233
411,16,13.6453
412,16,13.5193
413,16,13.6553
414,16,13.5953
415,16,13.6738
416,16,13.6778
417,16,13.7298
418,16,13.5438
419,16,13.6743
420,16,13.5908
421,16,13.7148
422,16,13.5588
423,16,13.7088
424,16,13.5503
425,16,13.8028
426,16,13.5918
427,16,13.7523
428,16,13.6568
429,16,13.7013
430,16,13.5753
431,16,13.7028
432,16,13.6033
433,16,13.6168
434,16,13.6483
435,16,13.6728
436,16,13.2768
437,16,9.33085
438,16,8.97135
439,16,8.93535
440,16,8.94585
441,16,8.92785
442,16,8.90985
443,16,8.94735
444,16,8.93985
445,16,8.89985
446,16,8.92285
447,16,8.93785
448,16,8.93335
449,16,8.90885
450,16,8.87235
451,16,8.90085
452,16,8.94335
453,16,8.89285
454,16,8.88485
455,16,8.93385
456,16,8.89635
457,16,8.87635
458,16,8.88635
459,16,8.78785
460,16,8.80585
461,16,8.90535
462,16,8.80585
463,16,8.78885
464,16,8.79535
465,16,8.82185
466,16,8.77385
467,16,8.79035
468,16,8.80535
469,16,8.77285
470,16,8.86635
471,16,8.78135
472,16,8.99435
473,16,8.88385
474,16,8.83885
475,16,8.80135
476,16,8.81785
477,16,8.82235
478,16,8.81085
479,16,8.89085
480,16,8.83785
481,16,8.81435
482,16,8.84035
483,16,8.80035
484,16,8.85385
485,16,13.5708
486,16,13.6148
487,16,13.6773
488,16,13.5033
489,16,13.6413
490,16,13.5328
491,16,13.5718
492,16,13.5278
493,16,13.5803
494,16,13.5268
495,16,13.6403
496,16,13.5693
497,16,13.6853
498,16,13.5403
499,16,15.6118
500,16,13.4023
501,16,13.1813
502,16,13.7533
503,16,13.6153
504,16,13.6193
505,16,13.4998
506,16,13.5893
507,16,13.4368
508,16,13.6643
509,16,13.6588
510,16,13.6758
511,16,13.4613
512,16,13.6298
513,16,13.8538
514,16,13.6493
515,16,13.5693
516,16,13.6363
517,16,13.5008
518,16,13.6578
519,16,13.4858
520,16,13.6353
521,16,13.5833
522,16,13.6083
523,16,13.5093
524,16,13.6258
525,16,13.4823
526,16,13.6293
527,16,13.4908
528,16,13.6338
529,16,13.4993
530,16,13.5938
531,16,13.5148
532,16,13.7758
533,16,14.9828
534,16,13.8963
535,16,13.5658
536,16,13.7503
537,16,13.5233
538,16,13.6868
539,16,13.4953
540,16,13.6768
541,16,13.5793
542,16,13.9023
543,16,13.6348
544,16,13.6818
545,16,13.5298
546,16,13.6863
547,16,13.5473
548,16,13.7493
549,16,13.5678
550,16,13.7248
551,16,13.4968
552,16,13.6468
553,16,13.5378
554,16,13.6473
555,16,13.4908
556,16,13.6428
557,16,13.5933
558,16,13.6023
559,16,13.5868
560,16,13.6793
561,16,13.5793
562,16,13.7353
563,16,13.5878
564,16,13.6523
565,16,13.5533
566,16,13.6398
567,16,13.5878
568,16,13.7258
569,16,13.5723
570,16,13.7098
571,16,13.5173
572,16,13.6473
573,16,13.5188
574,16,13.6668
575,16,13.5113
576,16,13.7698
577,16,13.5743
578,16,13.6588
579,16,13.6293
580,16,13.7243
581,16,13.5238
582,16,13.5933
583,16,13.5028
584,16,13.6288
585,16,13.5378
586,16,13.6693
587,16,13.5673
588,16,13.6283
589,16,13.5073
590,16,13.6413
591,16,13.5313
592,16,13.6103
593,16,13.5453
594,16,13.6673
595,16,13.5948
596,16,13.6478
597,16,13.5183
598,16,13.6773
599,16,13.5223
600,16,13.7023
601,16,13.5413
602,16,13.6453
603,16,13.5288
604,16,13.7153
605,16,13.5173
606,16,13.7003
607,16,13.5338
608,16,13.6348
609,16,13.6688
610,16,13.6483
611,16,13.5563
612,16,13.7118
613,16,13.5273
614,16,13.6213
615,16,13.5433
616,16,13.6733
617,16,13.5663
618,16,13.6413
619,16,13.6088
620,16,13.5993
621,16,13.5378
622,16,13.7263
623,16,13.5323
624,16,13.5713
625,16,13.5553
626,16,13.6518
627,16,13.5723
628,16,13.6958
629,16,13.5278
630,16,13.5838
631,16,13.5238
632,16,13.6633
633,16,13.5273
634,16,13.6158
635,16,13.4808
636,16,13.6278
637,16,12.9953
638,16,9.04835
639,16,8.87235
640,16,8.86385
641,16,8.89485
642,16,8.83835
643,16,8.81435
644,16,8.82985
645,16,8.97335
646,16,8.84285
647,16,8.77735
648,16,8.81935
649,16,8.88485
650,16,8.80285
651,16,8.80785
652,16,8.89685
653,16,8.85185
654,16,8.84985
655,16,8.79285
656,16,8.83185
657,16,8.75085
658,16,8.94035
659,16,8.86935
660,16,8.83085
661,16,8.80235
662,16,8.80985
663,16,8.74985
664,16,8.82285
665,16,8.78685
666,16,8.79485
667,16,8.80885
668,16,15.2808
669,16,8.82485
670,16,9.76435
671,16,8.96885
672,16,8.88435
673,16,8.91235
674,16,8.92985
675,16,8.96735
676,16,8.92535
677,16,8.93035
678,16,8.89435
679,16,8.89085
680,16,8.92535
681,16,8.87285
682,16,8.88585
683,16,8.85485
684,16,11.5008
685,16,14.9143
686,16,13.7063
687,16,13.6163
688,16,13.4773
689,16,13.7303
690,16,13.6633
691,16,13.6553
692,16,13.4683
693,16,13.6268
694,16,13.4373
695,16,13.5518
696,16,13.4773
697,16,13.5718
698,16,13.4563
699,16,13.6373
700,16,13.4563
701,16,13.6318
702,16,13.5678
703,16,13.5968
704,16,13.4228
705,16,13.6213
706,16,13.5493
707,16,13.6453
708,16,13.4418
709,16,13.5868
710,16,13.5178
711,16,13.6403
712,16,13.5028
713,16,13.6523
714,16,13.4803
715,16,13.6438
716,16,13.4463
717,16,13.6033
718,16,13.4688
719,16,13.6013
720,16,13.4658
721,16,13.5608
722,16,13.4998
723,16,13.9993
724,16,13.4688
725,16,13.5978
726,16,13.5258
727,16,13.6383
728,16,13.4618
729,16,13.6653
730,16,13.4393
731,16,13.6138
732,16,13.4863
733,16,13.6798
734,16,13.4573
735,16,13.5548
736,16,13.4638
737,16,13.5368
738,16,13.4903
739,16,13.5238
740,16,13.4548
741,16,13.6008
742,16,13.4748
743,16,13.5938
744,16,13.4513
745,16,13.5823
746,16,13.4428
747,16,13.6143
748,16,13.4678
749,16,13.6518
750,16,13.5743
751,16,13.6488
752,16,13.4823
753,16,13.6448
754,16,13.4968
755,16,13.5873
756,16,13.6698
757,16,13.6818
758,16,13.5173
759,16,13.6018
760,16,13.4513
761,16,13.6368
762,16,13.4873
763,16,13.5458
764,16,13.4318
765,16,13.5908
766,16,13.4513
767,16,13.6058
768,16,13.4758
769,16,13.5523
770,16,13.4553
771,16,13.6133
772,16,13.4743
773,16,13.5583
774,16,13.4728
775,16,13.6308
776,16,13.3758
777,16,13.6328
778,16,13.4018
779,16,13.4693
780,16,13.3918
781,16,13.5648
782,16,13.3733
783,16,13.5493
784,16,13.3498
785,16,13.5678
786,16,13.4583
787,16,13.5588
788,16,13.4153
789,16,13.5393
790,16,13.5668
791,16,13.6438
792,16,13.4668
793,16,13.5143
794,16,13.3823
795,16,13.6898
796,16,13.4453
797,16,13.6398
798,16,13.4808
799,16,13.5413
800,16,13.3513
801,16,13.5403
802,16,15.4253
803,16,13.7118
804,16,13.6463
805,16,13.4803
806,16,13.5878
807,16,13.5258
808,16,13.6458
809,16,13.5153
810,16,13.5688
811,16,13.1588
812,16,8.95685
813,16,8.89735
814,16,8.83185
815,16,8.83385
816,16,8.80735
817,16,8.82735
818,16,8.80135
819,16,8.86735
820,16,8.81585
821,16,8.80535
822,16,8.86185
823,16,8.85435
824,16,8.83635
825,16,8.78585
826,16,8.80985
827,16,8.83685
828,16,8.76885
829,16,9.00335
830,16,8.83135
831,16,8.79185
832,16,8.78235
833,16,8.86785
834,16,8.85285
835,16,8.78135
836,16,8.87385
837,16,8.73035
838,16,8.75985
839,16,8.87285
840,16,8.83635
841,16,8.76485
